,Player_Name,Rebounds/Fouls
0,Vernon Carey Jr.\vernon-careyjr-1,3.216666666666667
6,Alex O'Connell\alex-oconnell-1,3.0666666666666664
2,Tre Jones\tre-jones-1,2.444444444444444
3,Cassius Stanley\cassius-stanley-1,2.255813953488372
7,Wendell Moore Jr.\wendell-moorejr-1,2.0208333333333335
1,Matthew Hurt\matthew-hurt-1,2.02
10,Jack White\jack-white-1,2.02
9,Jordan Goldwire\jordan-goldwire-1,1.6285714285714286
8,Javin DeLaurier\javin-delaurier-1,1.5638297872340423
5,Justin Robinson\justin-robinson-4,1.2164948453608249
4,Joey Baker\joey-baker-1,0.5131578947368421
11,Mike Buckmire\mike-buckmire-1,0.0
